Gen 001 | 1 0 1 0 1 0 1 0 1 0 
Gen 002 | 0 1 0 1 0 1 0 1 0 1 
Gen 003 | 1 0 1 0 1 0 1 0 1 0 
Gen 004 | 0 1 0 1 0 1 0 1 0 1 
Gen 005 | 1 0 1 0 1 0 1 0 1 0 
Gen 006 | 0 1 0 1 0 1 0 1 0 1 
Gen 007 | 1 0 1 0 1 0 1 0 1 0 
Gen 008 | 0 1 0 1 0 1 0 1 0 1 
Gen 009 | 1 0 1 0 1 0 1 0 1 0 
Gen 010 | 0 1 0 1 0 1 0 1 0 1 
Gen 011 | 1 0 1 0 1 0 1 0 1 0 
Gen 012 | 0 1 0 1 0 1 0 1 0 1 
Gen 013 | 1 0 1 0 1 0 1 0 1 0 
Gen 014 | 0 1 0 1 0 1 0 1 0 1 
Gen 015 | 1 0 1 0 1 0 1 0 1 0 
Gen 016 | 0 1 0 1 0 1 0 1 0 1 
Gen 017 | 1 0 1 0 1 0 1 0 1 0 
Gen 018 | 0 1 0 1 0 1 0 1 0 1 
Gen 019 | 1 0 1 0 1 0 1 0 1 0 
Gen 020 | 0 1 0 1 0 1 0 1 0 1 
Gen 021 | 1 0 1 0 1 0 1 0 1 0 
Gen 022 | 0 1 0 1 0 1 0 1 0 1 
Gen 023 | 1 0 1 0 1 0 1 0 1 0 
Gen 024 | 0 1 0 1 0 1 0 1 0 1 
Gen 025 | 1 0 1 0 1 0 1 0 1 0 
Gen 026 | 0 1 0 1 0 1 0 1 0 1 
Gen 027 | 1 0 1 0 1 0 1 0 1 0 
Gen 028 | 0 1 0 1 0 1 0 1 0 1 
Gen 029 | 1 0 1 0 1 0 1 0 1 0 
Gen 030 | 0 1 0 1 0 1 0 1 0 1 
Gen 031 | 1 0 1 0 1 0 1 0 1 0 
Gen 032 | 0 1 0 1 0 1 0 1 0 1 
Gen 033 | 1 0 1 0 1 0 1 0 1 0 
Gen 034 | 0 1 0 1 0 1 0 1 0 1 
Gen 035 | 1 0 1 0 1 0 1 0 1 0 
Gen 036 | 0 1 0 1 0 1 0 1 0 1 
Gen 037 | 1 0 1 0 1 0 1 0 1 0 
Gen 038 | 0 1 0 1 0 1 0 1 0 1 
Gen 039 | 1 0 1 0 1 0 1 0 1 0 
Gen 040 | 0 1 0 1 0 1 0 1 0 1 
